Store_Name,Discount,link,Scraped_Date
Booking.com,5.50% Cashback,https://www.shopback.com.au/booking-com?feature_id=8440&feature_name=Booking.com&feature_type=sboc-baseline&feature_position=1&merchant_id=8440&merchant_name=Booking.com&offer_id=8440&offer_type=oc&offer_name=Booking.com&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_8440,2023/04/01
Amazon Australia,Up to 7.00% Cashback,https://www.shopback.com.au/amazon-australia?feature_id=8448&feature_name=Amazon+Australia&feature_type=sboc-baseline&feature_position=2&merchant_id=8448&merchant_name=Amazon+Australia&offer_id=8448&offer_type=oc&offer_name=Amazon+Australia&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_8448,2023/04/01
eBay Australia,Up to 4.00% Cashback,https://www.shopback.com.au/ebay-australia?feature_id=8437&feature_name=eBay+Australia&feature_type=sboc-baseline&feature_position=3&merchant_id=8437&merchant_name=eBay+Australia&offer_id=8437&offer_type=oc&offer_name=eBay+Australia&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_8437,2023/04/01
Myer,Up to 4.00% Cashback,https://www.shopback.com.au/myer?feature_id=8050&feature_name=Myer&feature_type=sboc-baseline&feature_position=4&merchant_id=8050&merchant_name=Myer&offer_id=8050&offer_type=oc&offer_name=Myer&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_8050,2023/04/01
THE ICONIC,3.00% Cashback,https://www.shopback.com.au/the-iconic?feature_id=8007&feature_name=THE+ICONIC&feature_type=sboc-baseline&feature_position=5&merchant_id=8007&merchant_name=THE+ICONIC&offer_id=8007&offer_type=oc&offer_name=THE+ICONIC&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_8007,2023/04/01
Chemist Warehouse,Up to 1.00% Cashback,https://www.shopback.com.au/chemist-warehouse?feature_id=7925&feature_name=Chemist+Warehouse&feature_type=sboc-baseline&feature_position=6&merchant_id=7925&merchant_name=Chemist+Warehouse&offer_id=7925&offer_type=oc&offer_name=Chemist+Warehouse&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_7925,2023/04/01
SHEIN,5.00% Cashback,https://www.shopback.com.au/shein?feature_id=8400&feature_name=SHEIN&feature_type=sboc-baseline&feature_position=7&merchant_id=8400&merchant_name=SHEIN&offer_id=8400&offer_type=oc&offer_name=SHEIN&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_8400,2023/04/01
Target Australia,Up to 2.80% Cashback,https://www.shopback.com.au/target-australia?feature_id=8316&feature_name=Target+Australia&feature_type=sboc-baseline&feature_position=8&merchant_id=8316&merchant_name=Target+Australia&offer_id=8316&offer_type=oc&offer_name=Target+Australia&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_8316,2023/04/01
First Choice Liquor,Up to 2.50% Cashback,https://www.shopback.com.au/first-choice-liquor?feature_id=8189&feature_name=First+Choice+Liquor&feature_type=sboc-baseline&feature_position=9&merchant_id=8189&merchant_name=First+Choice+Liquor&offer_id=8189&offer_type=oc&offer_name=First+Choice+Liquor&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_8189,2023/04/01
Coles,Up to $20 Cashback,https://www.shopback.com.au/coles?feature_id=20588&feature_name=Coles&feature_type=sboc-baseline&feature_position=10&merchant_id=20588&merchant_name=Coles&offer_id=20588&offer_type=oc&offer_name=Coles&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_20588,2023/04/01
Expedia Australia,Up to 14.00% Cashback,https://www.shopback.com.au/expedia-australia?feature_id=8438&feature_name=Expedia+Australia&feature_type=sboc-baseline&feature_position=11&merchant_id=8438&merchant_name=Expedia+Australia&offer_id=8438&offer_type=oc&offer_name=Expedia+Australia&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=upsize&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_8438,2023/04/01
Big W,Up to 2.25% Cashback,https://www.shopback.com.au/bigw?feature_id=17706&feature_name=Big+W&feature_type=sboc-baseline&feature_position=12&merchant_id=17706&merchant_name=Big+W&offer_id=17706&offer_type=oc&offer_name=Big+W&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_17706,2023/04/01
AliExpress,Up to 4.50% Cashback,https://www.shopback.com.au/aliexpress?feature_id=8444&feature_name=AliExpress&feature_type=sboc-baseline&feature_position=13&merchant_id=8444&merchant_name=AliExpress&offer_id=8444&offer_type=oc&offer_name=AliExpress&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_8444,2023/04/01
Uber Eats,Up to $10.00 Cashback,https://www.shopback.com.au/ubereats?feature_id=8433&feature_name=Uber+Eats&feature_type=sboc-baseline&feature_position=14&merchant_id=8433&merchant_name=Uber+Eats&offer_id=8433&offer_type=oc&offer_name=Uber+Eats&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_8433,2023/04/01
Agoda,Up to 5.50% Cashback,https://www.shopback.com.au/agoda?feature_id=8443&feature_name=Agoda&feature_type=sboc-baseline&feature_position=15&merchant_id=8443&merchant_name=Agoda&offer_id=8443&offer_type=oc&offer_name=Agoda&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_8443,2023/04/01
Liquorland,Up to 2.50% Cashback,https://www.shopback.com.au/liquorland?feature_id=8393&feature_name=Liquorland&feature_type=sboc-baseline&feature_position=16&merchant_id=8393&merchant_name=Liquorland&offer_id=8393&offer_type=oc&offer_name=Liquorland&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_8393,2023/04/01
Menulog,Up to 3.60% Cashback,https://www.shopback.com.au/menulog?feature_id=7953&feature_name=Menulog&feature_type=sboc-baseline&feature_position=17&merchant_id=7953&merchant_name=Menulog&offer_id=7953&offer_type=oc&offer_name=Menulog&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_7953,2023/04/01
